"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","","","45","","UnitTests","","UnitTests.MembershipTypeServiceTests","","testUpdateMembershipType_NotFound",""
"passed","","","100","","UnitTests","","UnitTests.MembershipRepositoryTests","","testUpdateMembership_NotFound",""
"passed","","","85","","IntegrationTests","","IntegrationTests.TrainingServiceITCase","","testCreateTraining_InvalidDate_Throws",""
"passed","","","72","","IntegrationTests","","IntegrationTests.MembershipTypeRepositoryCreateITCase","","testCreateMembershipType_DuplicateId",""
"passed","","","74","","IntegrationTests","","IntegrationTests.TrainingRoomRepositoryCreateITCase","","testCreateTrainingRoom_DublicateName",""
"passed","","","72","","IntegrationTests","","IntegrationTests.TrainingRoomRepositoryFindITCase","","testFindTrainingRoomByName_Success",""
"passed","","","107","","UnitTests","","UnitTests.TrainerRepositoryTests","","testDeleteTrainer_NotFound",""
"passed","","","70","","IntegrationTests","","IntegrationTests.TrainingRoomServiceITCase","","testDeleteRoom_NotFound",""
"passed","","","24","","UnitTests","","UnitTests.TrainerServiceTests","","testUpdateTrainer_NotFound",""
"passed","","","87","","IntegrationTests","","IntegrationTests.TrainingRepositoryCreateITCase","","testCreateTraining_DuplicateId",""
"passed","","","80","","IntegrationTests","","IntegrationTests.TrainingRoomRepositoryDeleteITCase","","testDeleteTrainingRoom_Success",""
"passed","","","23","","UnitTests","","UnitTests.MembershipServiceTests","","testDeleteMembership_NotFound",""
"passed","","","73","","IntegrationTests","","IntegrationTests.MembershipTypeRepositoryCreateITCase","","testCreateMembershipType_Success",""
"passed","","","71","","IntegrationTests","","IntegrationTests.TrainerRepositoryFindITCase","","testFindTrainerByUserId_NotFound",""
"passed","","","81","","IntegrationTests","","IntegrationTests.TrainingRoomServiceITCase","","testDeleteRoom_Success",""
"passed","","","31","","UnitTests","","UnitTests.MembershipTypeServiceTests","","testCreateMembershipType_Success",""
"passed","","","70","","IntegrationTests","","IntegrationTests.MembershipTypeServiceITCase","","testCreateMembershipType_Success",""
"passed","","","70","","IntegrationTests","","IntegrationTests.TrainingRoomRepositoryFindITCase","","testFindTrainingRoomById_NotFound",""
"passed","","","77","","IntegrationTests","","IntegrationTests.TrainerRepositoryFindITCase","","testFindTrainerById_Success",""
"passed","","","74","","IntegrationTests","","IntegrationTests.UserRepositoryFindITCase","","testFindUserAll_Success",""
"passed","","","88","","IntegrationTests","","IntegrationTests.MembershipServiceITCase","","testDeleteMembership_Success",""
"passed","","","22","","UnitTests","","UnitTests.UserServiceTests","","testDeleteUser_Success",""
"passed","","","103","","IntegrationTests","","IntegrationTests.AttendanceRepositoryUpdateITCase","","testUpdateAttendance_Success",""
"passed","","","747","","IntegrationTests","","IntegrationTests.AuthServiceITCase","","testLogin_SuccessByEmail",""
"passed","","","67","","IntegrationTests","","IntegrationTests.MembershipTypeRepositoryFindITCase","","testFindMembershipTypeById_NotFound",""
"passed","","","76","","IntegrationTests","","IntegrationTests.UserRepositoryDeleteITCase","","testDeleteUser_Success",""
"passed","","","104","","IntegrationTests","","IntegrationTests.AttendanceServiceITCase","","testCreate_DuplicateExists",""
"passed","","","50","","UnitTests","","UnitTests.TrainerServiceTests","","testDeleteTrainer_Success",""
"passed","","","75","","IntegrationTests","","IntegrationTests.TrainingRoomServiceITCase","","testCreateRoom_NameAlreadyExists",""
"passed","","","99","","IntegrationTests","","IntegrationTests.AttendanceRepositoryCreateITCase","","testCreateAttendance_Success",""
"passed","","","71","","IntegrationTests","","IntegrationTests.MembershipTypeRepositoryCreateITCase","","testCreateMembershipType_DuplicateName",""
"passed","","","78","","IntegrationTests","","IntegrationTests.TrainerServiceITCase","","testUpdateTrainer_Success",""
"passed","","","72","","IntegrationTests","","IntegrationTests.TrainingRoomRepositoryFindITCase","","testFindTrainingRoomById_Success",""
"passed","","","87","","IntegrationTests","","IntegrationTests.AttendanceServiceITCase","","testDelete_Fails_WhenNotFound",""
"passed","","","66","","IntegrationTests","","IntegrationTests.UserServiceITCase","","testUpdateUser_UserNotFound",""
"passed","","","75","","IntegrationTests","","IntegrationTests.AuthServiceITCase","","testRegister_InvalidEmail",""
"passed","","","35","","UnitTests","","UnitTests.AttendanceServiceTests","","testDelete_Success",""
"passed","","","39","","UnitTests","","UnitTests.TrainerServiceTests","","testUpdateTrainer_UserAlreadyHasTrainer",""
"passed","","","31","","UnitTests","","UnitTests.MembershipServiceTests","","testUpdateMembership_Success",""
"passed","","","30","","UnitTests","","UnitTests.TrainerServiceTests","","testDeleteTrainer_NotFound",""
"passed","","","76","","IntegrationTests","","IntegrationTests.TrainingRepositoryFindITCase","","testFindTrainingByTrainerId_NotFound",""
"passed","","","78","","IntegrationTests","","IntegrationTests.UserRepositoryCreateITCase","","testCreateUser_Success",""
"passed","","","77","","IntegrationTests","","IntegrationTests.TrainerServiceITCase","","testCreateTrainer_UserAlreadyHasTrainer",""
"passed","","","74","","IntegrationTests","","IntegrationTests.MembershipTypeRepositoryDeleteITCase","","testDeleteMembershipType_Success",""
"passed","","","88","","IntegrationTests","","IntegrationTests.TrainingRepositoryFindITCase","","testFindTrainingById_Success",""
"passed","","","82","","IntegrationTests","","IntegrationTests.TrainerRepositoryUpdateITCase","","testUpdateTrainer_Success",""
"passed","","","88","","IntegrationTests","","IntegrationTests.MembershipRepositoryDeleteITCase","","testDeleteMembership_Success",""
"passed","","","66","","IntegrationTests","","IntegrationTests.UserRepositoryFindITCase","","testFindUserById_NotFound",""
"passed","","","74","","IntegrationTests","","IntegrationTests.UserServiceITCase","","testUpdateUser_EmailAlreadyExists",""
"passed","","","66","","IntegrationTests","","IntegrationTests.UserServiceITCase","","testDeleteUser_UserNotFound",""
"passed","","","84","","IntegrationTests","","IntegrationTests.TrainingRepositoryCreateITCase","","testCreateTraining_Success",""
"passed","","","70","","IntegrationTests","","IntegrationTests.TrainerServiceITCase","","testUpdateTrainer_NotFound",""
"passed","","","116","","UnitTests","","UnitTests.MembershipRepositoryTests","","testUpdateMembership_Success",""
"passed","","","79","","IntegrationTests","","IntegrationTests.AuthServiceITCase","","testRegister_InvalidPhoneNumber",""
"passed","","","109","","UnitTests","","UnitTests.TrainingRoomRepositoryTests","","testDeleteTrainingRoom_Success",""
"passed","","","72","","IntegrationTests","","IntegrationTests.UserRepositoryCreateITCase","","testCreateUser_DuplicatePhone",""
"passed","","","66","","IntegrationTests","","IntegrationTests.MembershipTypeServiceITCase","","testUpdateMembershipType_NotFound",""
"passed","","","752","","IntegrationTests","","IntegrationTests.UserServiceITCase","","testUpdateUser_Success",""
"passed","","","123","","UnitTests","","UnitTests.TrainerRepositoryTests","","testUpdateTrainer_Success",""
"passed","","","71","","IntegrationTests","","IntegrationTests.AuthServiceITCase","","testLogin_UserNotFound",""
"passed","","","67","","IntegrationTests","","IntegrationTests.MembershipTypeRepositoryFindITCase","","testFindMembershipTypeByName_NotFound",""
"passed","","","749","","IntegrationTests","","IntegrationTests.AuthServiceITCase","","testLogin_SuccessByPhoneNumber",""
"passed","","","25","","UnitTests","","UnitTests.UserServiceTests","","testUpdateUser_Success",""
"passed","","","104","","IntegrationTests","","IntegrationTests.AttendanceServiceITCase","","testUpdate_Success",""
"passed","","","76","","IntegrationTests","","IntegrationTests.TrainingRoomServiceITCase","","testUpdateRoom_NameAlreadyExists",""
"passed","","","70","","IntegrationTests","","IntegrationTests.TrainerServiceITCase","","testDeleteTrainer_NotFound",""
"passed","","","79","","IntegrationTests","","IntegrationTests.MembershipTypeServiceITCase","","testUpdateMembershipType_NameAlreadyExists",""
"passed","","","77","","IntegrationTests","","IntegrationTests.MembershipRepositoryUpdateITCase","","testUpdateMembership_NotFound",""
"passed","","","84","","IntegrationTests","","IntegrationTests.AttendanceServiceITCase","","testUpdate_NotFound",""
"passed","","","77","","IntegrationTests","","IntegrationTests.TrainingServiceITCase","","testUpdateTraining_NotFound",""
"passed","","","84","","IntegrationTests","","IntegrationTests.AttendanceRepositoryUpdateITCase","","testUpdateAttendance_NotFound",""
"passed","","","68","","IntegrationTests","","IntegrationTests.MembershipTypeRepositoryUpdateITCase","","testUpdateMembershipType_NotFound",""
"passed","","","80","","IntegrationTests","","IntegrationTests.TrainerServiceITCase","","testDeleteTrainer_Success",""
"passed","","","25","","UnitTests","","UnitTests.AuthServiceTests","","testLogin_SuccessByPhoneNumber",""
"passed","","","74","","IntegrationTests","","IntegrationTests.MembershipTypeRepositoryUpdateITCase","","testUpdateMembershipType_DuplicateName",""
"passed","","","80","","IntegrationTests","","IntegrationTests.TrainerRepositoryCreateITCase","","testCreateTrainer_DublicateId",""
"passed","","","66","","IntegrationTests","","IntegrationTests.UserRepositoryFindITCase","","testFindUserByEmail_NotFound",""
"passed","","","46","","UnitTests","","UnitTests.TrainingServiceTests","","testCreateTraining_InvalidDate_Throws",""
"passed","","","85","","IntegrationTests","","IntegrationTests.TrainingRepositoryUpdateITCase","","testUpdateTraining_TrainingNotFound",""
"passed","","","79","","IntegrationTests","","IntegrationTests.TrainerRepositoryUpdateITCase","","testUpdateTrainer_DublicateUserId",""
"passed","","","120","","UnitTests","","UnitTests.MembershipTypeRepositoryTests","","testDeleteMembershipType_Success",""
"passed","","","70","","IntegrationTests","","IntegrationTests.MembershipTypeRepositoryFindITCase","","testFindMembershipTypeById_Success",""
"passed","","","72","","IntegrationTests","","IntegrationTests.MembershipTypeRepositoryFindITCase","","testFindMembershipTypeByName_Success",""
"passed","","","37","","UnitTests","","UnitTests.TrainingServiceTests","","testDeleteTraining_Success",""
"passed","","","38","","UnitTests","","UnitTests.TrainingServiceTests","","testDeleteTraining_NotFound",""
"passed","","","24","","UnitTests","","UnitTests.AuthServiceTests","","testLogin_InvalidPassword",""
"passed","","","76","","IntegrationTests","","IntegrationTests.MembershipRepositoryFindITCase","","testFindMembershipById_NotFound",""
"passed","","","65","","IntegrationTests","","IntegrationTests.UserRepositoryFindITCase","","testFindUserByPhone_NotFound",""
"passed","","","96","","UnitTests","","UnitTests.AttendanceRepositoryTests","","testDeleteAttendance_NotFound",""
"passed","","","77","","IntegrationTests","","IntegrationTests.TrainingServiceITCase","","testDeleteTraining_NotFound",""
"passed","","","38","","UnitTests","","UnitTests.TrainingRoomServiceTests","","testUpdateRoom_NameAlreadyExists",""
"passed","","","19","","UnitTests","","UnitTests.UserServiceTests","","testUpdateUser_UserNotFound",""
"passed","","","34","","UnitTests","","UnitTests.TrainingRoomServiceTests","","testDeleteRoom_Success",""
"passed","","","34","","UnitTests","","UnitTests.AttendanceServiceTests","","testDelete_Fails_WhenNotFound",""
"passed","","","73","","IntegrationTests","","IntegrationTests.TrainingRoomServiceITCase","","testCreateRoom_Success",""
"passed","","","71","","IntegrationTests","","IntegrationTests.TrainingRoomRepositoryFindITCase","","testFindTrainingRoomByName_NotFound",""
"passed","","","82","","IntegrationTests","","IntegrationTests.AttendanceRepositoryFindITCase","","testFindAttendanceById_NotFound",""
"passed","","","105","","UnitTests","","UnitTests.TrainingRoomRepositoryTests","","testUpdateTrainingRoom_Success",""
"passed","","","70","","IntegrationTests","","IntegrationTests.UserRepositoryDeleteITCase","","testDeleteUser_NotFound",""
"passed","","","756","","IntegrationTests","","IntegrationTests.UserServiceITCase","","testCreateUser_Success",""
"passed","","","28","","UnitTests","","UnitTests.UserServiceTests","","testCreateUser_Success",""
