"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","89","testUpdateMembership_Success","","","passed","","","IntegrationTests","IntegrationTests.MembershipServiceITCase",""
"","67","testUpdateMembershipType_NotFound","","","passed","","","IntegrationTests","IntegrationTests.MembershipTypeServiceITCase",""
"","186","testDeleteAttendance_Success","","","passed","","","UnitTests","UnitTests.AttendanceRepositoryTests",""
"","42","testDelete_Success","","","passed","","","UnitTests","UnitTests.AttendanceServiceTests",""
"","131","testCreateUser_PhoneNumberAlreadyExists","","","passed","","","UnitTests","UnitTests.UserServiceTests",""
"","24","testDeleteTrainer_Success","","","passed","","","UnitTests","UnitTests.TrainerServiceTests",""
"","66","testUpdateMembershipType_NotFound","","","passed","","","IntegrationTests","IntegrationTests.MembershipTypeRepositoryUpdateITCase",""
"","33","testUpdateUser_EmailAlreadyExists","","","passed","","","UnitTests","UnitTests.UserServiceTests",""
"","78","testCreateTrainer_Success","","","passed","","","IntegrationTests","IntegrationTests.TrainerRepositoryCreateITCase",""
"","88","testUpdateMembership_Success","","","passed","","","IntegrationTests","IntegrationTests.MembershipRepositoryUpdateITCase",""
"","105","testUpdate_Success","","","passed","","","IntegrationTests","IntegrationTests.AttendanceServiceITCase",""
"","76","testDeleteTraining_NotFound","","","passed","","","IntegrationTests","IntegrationTests.TrainingRepositoryDeleteITCase",""
"","91","testUpdateTraining_Success","","","passed","","","IntegrationTests","IntegrationTests.TrainingServiceITCase",""
"","77","testFindTrainerByUserId_Success","","","passed","","","IntegrationTests","IntegrationTests.TrainerRepositoryFindITCase",""
"","36","testCreateRoom_Success","","","passed","","","UnitTests","UnitTests.TrainingRoomServiceTests",""
"","73","testCreateUser_PhoneNumberAlreadyExists","","","passed","","","IntegrationTests","IntegrationTests.UserServiceITCase",""
"","72","testDeleteMembership_NotFound","","","passed","","","IntegrationTests","IntegrationTests.MembershipRepositoryDeleteITCase",""
"","66","testUpdateUser_UserNotFound","","","passed","","","IntegrationTests","IntegrationTests.UserServiceITCase",""
"","750","testLogin_SuccessByPhoneNumber","","","passed","","","IntegrationTests","IntegrationTests.AuthServiceITCase",""
"","72","testCreateUser_Success","","","passed","","","IntegrationTests","IntegrationTests.UserRepositoryCreateITCase",""
"","100","testFindAttendanceById_Success","","","passed","","","IntegrationTests","IntegrationTests.AttendanceRepositoryFindITCase",""
"","87","testCreateTraining_Success","","","passed","","","IntegrationTests","IntegrationTests.TrainingRepositoryCreateITCase",""
"","75","testFindTrainingById_NotFound","","","passed","","","IntegrationTests","IntegrationTests.TrainingRepositoryFindITCase",""
"","52","testUpdateMembership_Success","","","passed","","","UnitTests","UnitTests.MembershipServiceTests",""
